Timestamp,Technical_Score,Pressure_Level,Velocity_Data,Coach_Remarks,Recommended_Drill,Campus_Player_ID
0:00:00.166667,60,0,Calculating...,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:00.333333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:00.500000,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:00.666667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:00.833333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:01,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:04.333333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:04.500000,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:04.666667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:04.833333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:05,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:05.166667,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:05.333333,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
0:00:05.500000,60,0,Dead Ball: Slow play or recovery needed,Open Play: Scanning for teammates recommended,Vision & Switch Play Drills,Auto-Detecting...
